Program Code,Program Name,College Code
BSCS,Bachelor of Science in Computer Sciences,CCS
BSIT,Bachelor of Science in Information Technologies,CCS
BSCA,Bachelor of Science in Computer Applications,CCS
BSBiology,Bachelor of Science in Biology,CSM
BSME,Bachelor of Science in Mechanical Engineering,COE
BSN,Bachelor of Science in Nursing,CASS
BSA,Bachelor of Science in Accountancy,CBAA
BSED,Bachelor of Science in Education,CED
BSBA,Bachelor of Science in Business Administration,CBAA
BSTM,Bachelor of Science in Tourism Management,CASS
BSECE,Bachelor of Science in Electronics and Communication Engineering,COE
